2025-03-31 00:17:30,684 - DenseNet Training started...
2025-03-31 00:17:31,646 - DenseNet model loaded from densenet_model.pth
2025-03-31 00:19:04,585 - Epoch 1/32, Training Loss: 0.0175
2025-03-31 00:19:10,947 - Epoch 1/32, Validation Accuracy: 69.43%
2025-03-31 00:20:42,566 - Epoch 2/32, Training Loss: 0.0224
2025-03-31 00:20:48,788 - Epoch 2/32, Validation Accuracy: 66.94%
2025-03-31 00:22:20,396 - Epoch 3/32, Training Loss: 0.0153
2025-03-31 00:22:26,623 - Epoch 3/32, Validation Accuracy: 64.90%
2025-03-31 00:23:58,082 - Epoch 4/32, Training Loss: 0.0100
2025-03-31 00:24:04,258 - Epoch 4/32, Validation Accuracy: 63.18%
2025-03-31 00:25:35,341 - Epoch 5/32, Training Loss: 0.0150
2025-03-31 00:25:41,622 - Epoch 5/32, Validation Accuracy: 70.76%
2025-03-31 00:27:12,995 - Epoch 6/32, Training Loss: 0.0123
2025-03-31 00:27:19,210 - Epoch 6/32, Validation Accuracy: 62.82%
2025-03-31 00:28:50,193 - Epoch 7/32, Training Loss: 0.0111
2025-03-31 00:28:56,330 - Epoch 7/32, Validation Accuracy: 64.01%
2025-03-31 00:30:27,506 - Epoch 8/32, Training Loss: 0.0153
2025-03-31 00:30:33,706 - Epoch 8/32, Validation Accuracy: 67.55%
2025-03-31 00:32:04,360 - Epoch 9/32, Training Loss: 0.0113
2025-03-31 00:32:10,600 - Epoch 9/32, Validation Accuracy: 70.73%
2025-03-31 00:33:41,582 - Epoch 10/32, Training Loss: 0.0094
2025-03-31 00:33:47,892 - Epoch 10/32, Validation Accuracy: 70.48%
2025-03-31 00:35:18,889 - Epoch 11/32, Training Loss: 0.0062
2025-03-31 00:35:25,186 - Epoch 11/32, Validation Accuracy: 66.47%
2025-03-31 00:36:56,032 - Epoch 12/32, Training Loss: 0.0119
2025-03-31 00:37:02,275 - Epoch 12/32, Validation Accuracy: 66.33%
2025-03-31 00:38:33,252 - Epoch 13/32, Training Loss: 0.0137
2025-03-31 00:38:39,476 - Epoch 13/32, Validation Accuracy: 67.66%
2025-03-31 00:40:10,355 - Epoch 14/32, Training Loss: 0.0082
2025-03-31 00:40:16,616 - Epoch 14/32, Validation Accuracy: 64.79%
2025-03-31 00:41:47,542 - Epoch 15/32, Training Loss: 0.0076
2025-03-31 00:41:53,736 - Epoch 15/32, Validation Accuracy: 66.94%
2025-03-31 00:43:24,997 - Epoch 16/32, Training Loss: 0.0096
2025-03-31 00:43:31,208 - Epoch 16/32, Validation Accuracy: 65.92%
2025-03-31 00:45:01,906 - Epoch 17/32, Training Loss: 0.0123
2025-03-31 00:45:08,135 - Epoch 17/32, Validation Accuracy: 66.09%
2025-03-31 00:46:39,342 - Epoch 18/32, Training Loss: 0.0018
2025-03-31 00:46:45,526 - Epoch 18/32, Validation Accuracy: 65.73%
2025-03-31 00:48:17,311 - Epoch 19/32, Training Loss: 0.0001
2025-03-31 00:48:23,540 - Epoch 19/32, Validation Accuracy: 66.50%
2025-03-31 00:49:55,089 - Epoch 20/32, Training Loss: 0.0129
2025-03-31 00:50:01,290 - Epoch 20/32, Validation Accuracy: 70.21%
2025-03-31 00:51:32,715 - Epoch 21/32, Training Loss: 0.0138
2025-03-31 00:51:38,960 - Epoch 21/32, Validation Accuracy: 66.03%
2025-03-31 00:53:10,977 - Epoch 22/32, Training Loss: 0.0078
2025-03-31 00:53:17,238 - Epoch 22/32, Validation Accuracy: 63.60%
2025-03-31 00:54:48,316 - Epoch 23/32, Training Loss: 0.0042
2025-03-31 00:54:54,599 - Epoch 23/32, Validation Accuracy: 63.98%
2025-03-31 00:56:25,517 - Epoch 24/32, Training Loss: 0.0120
2025-03-31 00:56:31,792 - Epoch 24/32, Validation Accuracy: 67.52%
2025-03-31 00:58:03,091 - Epoch 25/32, Training Loss: 0.0040
2025-03-31 00:58:09,297 - Epoch 25/32, Validation Accuracy: 66.31%
2025-03-31 00:59:39,946 - Epoch 26/32, Training Loss: 0.0105
2025-03-31 00:59:46,194 - Epoch 26/32, Validation Accuracy: 66.97%
2025-03-31 01:01:16,909 - Epoch 27/32, Training Loss: 0.0022
2025-03-31 01:01:23,190 - Epoch 27/32, Validation Accuracy: 69.32%
2025-03-31 01:02:54,535 - Epoch 28/32, Training Loss: 0.0105
2025-03-31 01:03:00,825 - Epoch 28/32, Validation Accuracy: 61.69%
2025-03-31 01:04:32,140 - Epoch 29/32, Training Loss: 0.0081
2025-03-31 01:04:38,198 - Epoch 29/32, Validation Accuracy: 66.14%
2025-03-31 01:06:09,323 - Epoch 30/32, Training Loss: 0.0064
2025-03-31 01:06:15,521 - Epoch 30/32, Validation Accuracy: 65.64%
2025-03-31 01:07:47,106 - Epoch 31/32, Training Loss: 0.0047
2025-03-31 01:07:53,297 - Epoch 31/32, Validation Accuracy: 68.11%
2025-03-31 01:09:24,659 - Epoch 32/32, Training Loss: 0.0094
2025-03-31 01:09:30,865 - Epoch 32/32, Validation Accuracy: 67.36%
2025-03-31 01:09:31,003 - DenseNet model saved to densenet_model.pth
2025-03-31 01:09:31,004 - Training completed in 51m 59s
