2025-03-31 15:21:30,253 - Training started...
2025-03-31 15:23:40,321 - Epoch 1/32, Training Loss: 0.5629
2025-03-31 15:24:04,393 - Epoch 1/32, Validation Accuracy: 0.41
2025-03-31 15:24:38,625 - Epoch 2/32, Training Loss: 0.2528
2025-03-31 15:24:43,760 - Epoch 2/32, Validation Accuracy: 0.43
2025-03-31 15:25:19,687 - Epoch 3/32, Training Loss: 0.1938
2025-03-31 15:25:24,715 - Epoch 3/32, Validation Accuracy: 0.41
2025-03-31 15:26:00,615 - Epoch 4/32, Training Loss: 0.1633
2025-03-31 15:26:05,807 - Epoch 4/32, Validation Accuracy: 0.45
2025-03-31 15:26:41,673 - Epoch 5/32, Training Loss: 0.1344
2025-03-31 15:26:46,784 - Epoch 5/32, Validation Accuracy: 0.44
2025-03-31 15:27:21,362 - Epoch 6/32, Training Loss: 0.1089
2025-03-31 15:27:27,382 - Epoch 6/32, Validation Accuracy: 0.39
2025-03-31 15:28:01,946 - Epoch 7/32, Training Loss: 0.1121
2025-03-31 15:28:07,051 - Epoch 7/32, Validation Accuracy: 0.42
2025-03-31 15:28:41,340 - Epoch 8/32, Training Loss: 0.1030
2025-03-31 15:28:46,508 - Epoch 8/32, Validation Accuracy: 0.46
2025-03-31 15:29:20,833 - Epoch 9/32, Training Loss: 0.0727
2025-03-31 15:29:25,936 - Epoch 9/32, Validation Accuracy: 0.44
2025-03-31 15:30:00,209 - Epoch 10/32, Training Loss: 0.0675
2025-03-31 15:30:05,375 - Epoch 10/32, Validation Accuracy: 0.46
2025-03-31 15:30:39,771 - Epoch 11/32, Training Loss: 0.0654
2025-03-31 15:30:44,850 - Epoch 11/32, Validation Accuracy: 0.46
2025-03-31 15:31:19,251 - Epoch 12/32, Training Loss: 0.0488
2025-03-31 15:31:24,395 - Epoch 12/32, Validation Accuracy: 0.48
2025-03-31 15:31:58,643 - Epoch 13/32, Training Loss: 0.0488
2025-03-31 15:32:03,727 - Epoch 13/32, Validation Accuracy: 0.45
2025-03-31 15:32:38,038 - Epoch 14/32, Training Loss: 0.0427
2025-03-31 15:32:43,204 - Epoch 14/32, Validation Accuracy: 0.44
2025-03-31 15:33:17,607 - Epoch 15/32, Training Loss: 0.0467
2025-03-31 15:33:22,695 - Epoch 15/32, Validation Accuracy: 0.41
2025-03-31 15:33:57,107 - Epoch 16/32, Training Loss: 0.0358
2025-03-31 15:34:02,267 - Epoch 16/32, Validation Accuracy: 0.46
2025-03-31 15:34:38,195 - Epoch 17/32, Training Loss: 0.0234
2025-03-31 15:34:43,288 - Epoch 17/32, Validation Accuracy: 0.43
2025-03-31 15:35:17,732 - Epoch 18/32, Training Loss: 0.0272
2025-03-31 15:35:22,901 - Epoch 18/32, Validation Accuracy: 0.48
2025-03-31 15:35:57,634 - Epoch 19/32, Training Loss: 0.0245
2025-03-31 15:36:02,733 - Epoch 19/32, Validation Accuracy: 0.49
2025-03-31 15:36:38,765 - Epoch 20/32, Training Loss: 0.0211
2025-03-31 15:36:44,483 - Epoch 20/32, Validation Accuracy: 0.43
2025-03-31 15:37:19,998 - Epoch 21/32, Training Loss: 0.0286
2025-03-31 15:37:25,128 - Epoch 21/32, Validation Accuracy: 0.45
2025-03-31 15:38:00,469 - Epoch 22/32, Training Loss: 0.0313
2025-03-31 15:38:05,675 - Epoch 22/32, Validation Accuracy: 0.43
2025-03-31 15:38:41,104 - Epoch 23/32, Training Loss: 0.0279
2025-03-31 15:38:46,278 - Epoch 23/32, Validation Accuracy: 0.47
2025-03-31 15:39:22,406 - Epoch 24/32, Training Loss: 0.0280
2025-03-31 15:39:27,547 - Epoch 24/32, Validation Accuracy: 0.46
2025-03-31 15:40:02,399 - Epoch 25/32, Training Loss: 0.0238
2025-03-31 15:40:07,497 - Epoch 25/32, Validation Accuracy: 0.43
2025-03-31 15:40:42,420 - Epoch 26/32, Training Loss: 0.0168
2025-03-31 15:40:47,540 - Epoch 26/32, Validation Accuracy: 0.47
2025-03-31 15:41:27,461 - Epoch 27/32, Training Loss: 0.0077
2025-03-31 15:41:32,733 - Epoch 27/32, Validation Accuracy: 0.46
2025-03-31 15:42:07,807 - Epoch 28/32, Training Loss: 0.0044
2025-03-31 15:42:12,962 - Epoch 28/32, Validation Accuracy: 0.46
2025-03-31 15:42:47,293 - Epoch 29/32, Training Loss: 0.0195
2025-03-31 15:42:52,428 - Epoch 29/32, Validation Accuracy: 0.48
2025-03-31 15:43:26,860 - Epoch 30/32, Training Loss: 0.0293
2025-03-31 15:43:31,947 - Epoch 30/32, Validation Accuracy: 0.47
2025-03-31 15:44:06,459 - Epoch 31/32, Training Loss: 0.0270
2025-03-31 15:44:11,677 - Epoch 31/32, Validation Accuracy: 0.45
2025-03-31 15:44:47,198 - Epoch 32/32, Training Loss: 0.0271
2025-03-31 15:44:52,284 - Epoch 32/32, Validation Accuracy: 0.45
2025-03-31 15:44:52,407 - Model saved to model.pth
2025-03-31 15:44:52,407 - Training completed in 23 minutes and 22 seconds.
