2025-03-30 20:01:53,688 - Training started...
2025-03-30 20:05:13,738 - Epoch 1/32, Training Loss: 0.3652
2025-03-30 20:05:41,038 - Epoch 1/32, Validation Accuracy: 0.66
2025-03-30 20:06:53,765 - Epoch 2/32, Training Loss: 0.1564
2025-03-30 20:06:59,951 - Epoch 2/32, Validation Accuracy: 0.65
2025-03-30 20:08:12,455 - Epoch 3/32, Training Loss: 0.1143
2025-03-30 20:08:18,569 - Epoch 3/32, Validation Accuracy: 0.66
2025-03-30 20:09:32,289 - Epoch 4/32, Training Loss: 0.0970
2025-03-30 20:09:38,448 - Epoch 4/32, Validation Accuracy: 0.70
2025-03-30 20:10:51,080 - Epoch 5/32, Training Loss: 0.0791
2025-03-30 20:10:57,275 - Epoch 5/32, Validation Accuracy: 0.68
2025-03-30 20:12:14,298 - Epoch 6/32, Training Loss: 0.0786
2025-03-30 20:12:20,474 - Epoch 6/32, Validation Accuracy: 0.66
2025-03-30 20:13:33,043 - Epoch 7/32, Training Loss: 0.0709
2025-03-30 20:13:39,121 - Epoch 7/32, Validation Accuracy: 0.74
2025-03-30 20:14:51,580 - Epoch 8/32, Training Loss: 0.0604
2025-03-30 20:14:57,735 - Epoch 8/32, Validation Accuracy: 0.68
2025-03-30 20:16:10,391 - Epoch 9/32, Training Loss: 0.0554
2025-03-30 20:16:16,647 - Epoch 9/32, Validation Accuracy: 0.72
2025-03-30 20:17:29,750 - Epoch 10/32, Training Loss: 0.0588
2025-03-30 20:17:39,587 - Epoch 10/32, Validation Accuracy: 0.68
2025-03-30 20:18:52,285 - Epoch 11/32, Training Loss: 0.0479
2025-03-30 20:18:58,428 - Epoch 11/32, Validation Accuracy: 0.65
2025-03-30 20:20:10,969 - Epoch 12/32, Training Loss: 0.0483
2025-03-30 20:20:17,103 - Epoch 12/32, Validation Accuracy: 0.71
2025-03-30 20:21:29,472 - Epoch 13/32, Training Loss: 0.0457
2025-03-30 20:21:35,696 - Epoch 13/32, Validation Accuracy: 0.68
2025-03-30 20:22:48,096 - Epoch 14/32, Training Loss: 0.0385
2025-03-30 20:22:54,282 - Epoch 14/32, Validation Accuracy: 0.69
2025-03-30 20:24:06,722 - Epoch 15/32, Training Loss: 0.0286
2025-03-30 20:24:12,888 - Epoch 15/32, Validation Accuracy: 0.72
2025-03-30 20:25:25,416 - Epoch 16/32, Training Loss: 0.0337
2025-03-30 20:25:31,556 - Epoch 16/32, Validation Accuracy: 0.70
2025-03-30 20:26:43,877 - Epoch 17/32, Training Loss: 0.0247
2025-03-30 20:26:49,998 - Epoch 17/32, Validation Accuracy: 0.73
2025-03-30 20:28:07,680 - Epoch 18/32, Training Loss: 0.0259
2025-03-30 20:28:14,100 - Epoch 18/32, Validation Accuracy: 0.67
2025-03-30 20:29:27,957 - Epoch 19/32, Training Loss: 0.0413
2025-03-30 20:29:34,166 - Epoch 19/32, Validation Accuracy: 0.69
2025-03-30 20:30:49,702 - Epoch 20/32, Training Loss: 0.0114
2025-03-30 20:30:55,899 - Epoch 20/32, Validation Accuracy: 0.71
2025-03-30 20:32:08,317 - Epoch 21/32, Training Loss: 0.0184
2025-03-30 20:32:14,523 - Epoch 21/32, Validation Accuracy: 0.69
2025-03-30 20:33:26,956 - Epoch 22/32, Training Loss: 0.0155
2025-03-30 20:33:33,180 - Epoch 22/32, Validation Accuracy: 0.67
2025-03-30 20:34:45,748 - Epoch 23/32, Training Loss: 0.0166
2025-03-30 20:34:51,961 - Epoch 23/32, Validation Accuracy: 0.70
2025-03-30 20:36:07,343 - Epoch 24/32, Training Loss: 0.0126
2025-03-30 20:36:13,616 - Epoch 24/32, Validation Accuracy: 0.71
2025-03-30 20:37:26,832 - Epoch 25/32, Training Loss: 0.0108
2025-03-30 20:37:33,119 - Epoch 25/32, Validation Accuracy: 0.68
2025-03-30 20:38:46,243 - Epoch 26/32, Training Loss: 0.0157
2025-03-30 20:38:52,561 - Epoch 26/32, Validation Accuracy: 0.65
2025-03-30 20:40:05,608 - Epoch 27/32, Training Loss: 0.0190
2025-03-30 20:40:11,865 - Epoch 27/32, Validation Accuracy: 0.71
2025-03-30 20:41:25,140 - Epoch 28/32, Training Loss: 0.0172
2025-03-30 20:41:31,357 - Epoch 28/32, Validation Accuracy: 0.72
2025-03-30 20:42:44,403 - Epoch 29/32, Training Loss: 0.0096
2025-03-30 20:42:50,656 - Epoch 29/32, Validation Accuracy: 0.72
2025-03-30 20:44:05,986 - Epoch 30/32, Training Loss: 0.0082
2025-03-30 20:44:12,154 - Epoch 30/32, Validation Accuracy: 0.69
2025-03-30 20:45:24,683 - Epoch 31/32, Training Loss: 0.0130
2025-03-30 20:45:30,821 - Epoch 31/32, Validation Accuracy: 0.72
2025-03-30 20:46:43,583 - Epoch 32/32, Training Loss: 0.0082
2025-03-30 20:46:49,805 - Epoch 32/32, Validation Accuracy: 0.70
2025-03-30 20:46:50,008 - Model saved to model.pth
2025-03-30 20:46:50,008 - Training completed in 44 minutes and 56 seconds.
